FID,latitude,longitude,brightness,acq_date,acq_time,confidence,frp,local_time,RASTERVALU
229,38.890999999999998,116.245000000000000,322.600000000000020,5/19/2010 0:00:00,3,74,9.199999999999999,11,12
230,38.890999999999998,116.239999999999990,322.199999999999990,6/12/2013 0:00:00,3,52,10.100000000000000,11,13
231,38.892000000000003,116.235000000000000,316.399999999999980,8/31/2013 0:00:00,3,49,12.400000000000000,11,13
232,38.890000000000001,116.247000000000000,315.500000000000000,8/31/2013 0:00:00,3,49,11.300000000000001,11,12
233,38.892000000000003,116.239000000000000,321.000000000000000,7/11/2012 0:00:00,3,24,12.400000000000000,11,13
234,38.890999999999998,116.245000000000000,322.600000000000020,5/19/2010 0:00:00,3,74,9.199999999999999,11,12
235,38.890000000000001,116.251000000000000,314.500000000000000,4/27/2008 0:00:00,3,61,6.900000000000000,11,12
236,38.892000000000003,116.246000000000000,318.000000000000000,5/13/2008 0:00:00,3,69,11.600000000000000,11,12
237,38.892000000000003,116.246000000000000,313.300000000000010,9/3/2014 0:00:00,3,31,8.699999999999999,11,12
238,38.892000000000003,116.246000000000000,318.000000000000000,5/13/2008 0:00:00,3,69,11.600000000000000,11,12
239,38.892000000000003,116.246000000000000,313.300000000000010,9/3/2014 0:00:00,3,31,8.699999999999999,11,12
240,38.947000000000003,115.965000000000000,310.199999999999990,2/5/2008 0:00:00,5,31,23.100000000000001,13,11
241,38.890000000000001,116.258000000000000,315.000000000000000,5/13/2008 0:00:00,3,56,8.000000000000000,11,12
242,38.892000000000003,116.250000000000000,320.100000000000020,7/30/2013 0:00:00,3,29,13.300000000000001,11,12
243,38.950000000000003,115.953999999999990,390.199999999999990,1/30/2008 0:00:00,6,100,378.899999999999980,14,12
244,38.893000000000001,116.246000000000000,324.199999999999990,7/3/2013 0:00:00,5,28,12.100000000000000,13,12
245,38.951000000000001,115.950999999999990,323.500000000000000,7/7/2013 0:00:00,3,63,15.100000000000000,11,12
246,38.777000000000001,116.828000000000000,312.600000000000020,10/26/2013 0:00:00,6,55,26.100000000000001,14,12
247,38.948999999999998,115.962000000000000,319.899999999999980,7/7/2013 0:00:00,3,50,12.400000000000000,11,11
